Track title,track lyrics,Release Year,composer ,Lyricist
تك تك يام سليمان,تك تك تك يام سليمان تك تك تك جوزك وين كان تك تك تك كان بالحقلة عم يقطف خوخ ورمان يا ستي يا ست بدور شوفي القمر كيف بيدور والناطورة بدا شمس والشمس بعقد المرجان عمي يا عم الحطاب خلينا نلعب عالباب والجارة بدا قمحة والقمحة عند الطحان يا جدي يا جد التلج لحيتك غطت عالمرج والهوا بدو خيمة والخيمة بدا خيطان دوينني الجمال يحني بالقنطرة شو طعميناهن قمح و درة شو سقاينهن ميي معطرة يا عمي الغراب جوزني بنتك,1967,الأخوين رحباني,الأخوين رحباني
تنذكر ما تنعاد,تنذكر ما تنعاد ونشوفك بالاعياد تعمر وتجيب ولاد بس انساني تنذكر ما تنعاد ويصيروا الاشيا بعاد في غيرك ناس جداد في شي تاني شو هالحب اللي طالعلي فيه شو هالقلب اللي بس نسمع فيه بتبلش حب وما بتكفيه تنذكر ما تنعاد تترك أرض الأجداد وتجرب غير بلاد لا تنساني شو هالعمر اللي مش باقي شي لولا الوقت الولا خلى شي خلالي طريقي ورح أمشيه كان عندي عيد ميلاد ذاكر وقتو بالكاد تهرب متل الولاد شي تنساني حتى عيدي بكره فكر فيه لون الشمع اللي لازم أطفيه بتمنى تنسى حبي وتعفيه,2001,زياد رحباني,زياد رحباني
جاي انا,جاي انا جاي جاي لعندك جاي رح يخلص الموسم وافضى للمحبة وينك يا حبيبي ت حطك بقلبي اعمل لي عندك خيم من جوانح الغيمه بالحب مضوايه جايي انا جاي بكرا مشاويري لعندك بتحملني وعنك يا حبيبي ما حدا بيشغلني هني عوقوني بشغلي و نطروني وقربت الحكايه وجاي انا جاي,1963,الأخوين رحباني,الأخوين رحباني
جلنار,يا صبح روج طولت ليلك خليت قلبي نار بلكي بتجي أختك تغنيلك بلكي بتجي جلنار صرخات عم بتموج بالوادي معنزق عليها ضباب لبعيد عم بتروح و تنادي بيظهر حبيبو غاب راعي بكي و منجيرتو متلو بكيت تيتسلى شو قولوكن عالسكت قالتلو شو قولكن قلا خليك حدي تيروق الجو و رندح و سمعني و لمن بيطلعلك يا راعي الضو تبقى تودعني وقفت قلبي عالدرب ناطور تفاق ألف نهار ووعيت الشمس و زقزق العصفور و ما إجت جلنار,1953,الأخوين رحباني,ميشال طراد
جينا لحلال القصص,جينا لحلال القصص تنحل قصتنا ولقينا في عندو قصة يا ما احلا قصتنا كل واحد عندو قصو وكل قصة إلها قصة وبيخلص العمر وما بتخلص القصة,1968,الأخوين رحباني,الأخوين رحباني
حبيبي بده القمر,"حبيبي بده القمر والقمر بعيد والسما عالية ما بتطالها الأيد طلعت على السطح دلّوا علي الناس قالوا ماادري شو بها وخبّروا الحراس قلت لهن بدي القمر قالوا القمر غالي حقه عشر ليالي عشر ليالي سهر
وإلي عشر ليالي عالسطح سهرانة وحاسة بحالي تعبانة ونعسانة خايفة لأنام وينزل القمر ويلاقيني غافية وتسرقه جارتنا يا اللي مزاعلتنا وتعطيه لحبيبي ويحبها حبيبي وأنا صير غريبة",1967,الأخوين رحباني,الأخوين رحباني
علوا ابواب الوسيعه,علو ابواب الوسيعة الدار جيناها رجعوا اصحاب الشيم والعز ضواها دقو البيارق على حد الفرح والنار والدار للي بني حجارها و علاها قال القوال وغنى قلنا : شوقال ؟ الساحة ولعاني عنا بصوت القوال ردو حواليي ردو القول المرصود المرصود  لكاتب حدو عالغيم حدود ولما الفرسان احتدو وطش البارود انهزوا الاشيا وانهدو والصخر انشال شعرك زهرة محروقه بحراش الليل الليل الطاير عنزوقه من ميل ل ميل ويا سمره ياعيوقه بصهلات الخيل انتي النبله الممشوفه بأيد الخيال قادر  يا صوت القادر بالمجد تجن تجن و بالرد تبادر ت الردة تعن عم يهدر نهر الهادر والصنج يرن وبيدر مزروع بيادر مزروع رجال,1966,الأخوين رحباني,الأخوين رحباني
"تحت العريشه",تحت العريشة سوى قعدنا سوى وقلنا كرم المحبة استوى وخبى منازلنا يا زهور يا عم يندهو البلبل لفي وغنى الكانو يحبو ألتهو بغيرنا عنا تهنا بدروب الحكي وكان الحكي إلنا القلوب اللنا تشتكي والحب سألنا,1995,الأخوين رحباني,الأخوين رحباني
تخمين,تخمين راحت حلوة الحلوين وما ضل في غير الحبق تخمين هالـــــقلب انطبق وماعاد يرجعلي بعد تخمين وغاب القمر من فوق بيتون غا وما عاد رح بيطلّ واســــود لون الفلّ والزنبقة البيضا ال حد الباب بآخر هاك البستان في ممرق بيجيب عا بالي البكي مطرح ما كانت ترتكي مفرخ على جفافه العشب أزرق وطالع عريشة  معششة فيها الطيور مطرح ما هرت دمعتها وبعدهن بيحكو حكايتها هونيك كم بنفسجة خلف الصخور,1973,الأخوين رحباني,ميشال طراد
تدور الارجيله,دارت الارجيلة يا اهلا بالارجيلة نتسمع على كرّتها نسهر على تقسيمتها ونشوف الليلة الطويلة مش طويلة تدور تدور الارجيلة تدور ياصبية مافي الها ناطور تهل علينا و تطل علينا وعلى غيم  الدخان تدور تدور على ناس قاعدين مع ناس على نفس الكراسي وراق الكاس جمعتهن الارجيلة بالليلة الطويلة والسهرة بخيلة والغنية تدور ولما بمرق تحت النار عيونك بتخبيني ... وبندهلك ياقمر نوار وبحطك ع جبيني رقصة ع حديد البواريد خطر جديد وفرح جديد انا قنديل وانت العيد انا حقلة وانت الناطور,1970,الأخوين رحباني,الأخوين رحباني
تعا ولا تجي,تعا ولا تجي وكذوب عليّي الكذبة مش خطيّة وعدني أنّو رح تجي وتعا .... ولا تجي ع عتاب البواب الأبر عمبتحيّك بتحيّك تكّاية .. وتحيّك حكاية والأبر مسنونة والعيون مسنونة وياخوفي الحكي يجي الحسد عالطريق .. الحسد عمبيزهّر زهّر بالدّوارة وزهّر عند الجارة وغزلت بمغزلها قصتنا بمغزلها ولوين رح التجي تتعا ولا تجي وكذوب عليّي الكذبة مش خطيّة وعدني أنّو رح تجي وتعا ولا تجي,1964,الأخوين رحباني,الأخوين رحباني
تعال كفاك دلال,تعال تعال..كفاك دلال.. كفاك زهوّا بتاج الجمال.. تعال..تعال تعال.. ضلوعي تحن وروحي تذوب وتذكر يوم حوانا الغروب لأنت حبيبي نجيّ القلوب وانت الرجاء وانت الخيال.. عيونك فيها الفصول الفصول فديت العيون وسحر العيون كفاك حبيبي رفيف الجفون اراك تجافي وتبغي الوصال حبيبي كنت وحيدا اطير فجئت بلحنك عبر الاثير ملكت هوايا وكنت الاسير رضيت بأسري ولكن تعال تعال تعال..كفاك دلال..,1952,الأخوين رحباني,شفيق جدايل
تلفن عياش,تلفن عياش لما توقعنا وناطرينه تلفن عياش تلفن يعني الله يعينه تلفن عياش تلفن، تلفن عياش تلفن كذب عياش لما توقعنا و ناطرينه كذب عياش ما بيحلف إلا بدينه تلفن عياش كذب تلفن عياش كذب تلفن عياش وقال الاشيا مظبوطة جود عياش وعرفينا مش مظبوطة بيقلك كل شي تمام غط حمام وطار حمام تلفن عياش و حرفه بيعرف كيف يزينه موفق عياش كيف لالله عم بيعينو تلفن عياش و خبر ليه ما بيتلفن يكذب عياش يكذب راقي و بيجنن بيقلك هوي مظلوم هوي واضح و مفهوم فشط عياش ومتل العادة منعرف مينو تلفن عياش فشط يعني الله يعينه تلفن عياش فشط تلفن عياش فشط وأخيرا تلفن عياش متل ما كأنو ما تلفن,2000,زياد رحباني,زياد رحباني
عن حبك غنينا,عن حبك غنينا ولقربك حنينا وحكينا حكايات عن ملقانا استنظرنا وسهرنا تواعدنا وسعدنا والليل يزرع بالهوى دنيانا لونا أيامك زينا أحلامك طرقاتك بأشواقنا فرشناها وبكينا وما حكينا وزعلنا وما قلنا ساعات حلوة بالهوى عشناها ليلي يتيه والشوق غاوية والقلب ما بيهدى ذكراك تضنيه ما أجمل أطيارك عم تنزل عدارك وتقول يا حلو الهنا لاقينا والزنبق يتشوق والجدول عم يسأل يلا نغني للهوى غنانينا,1958,الأخوين رحباني,الأخوين رحباني
غيب يا قمر,غيب غيب غيب غيب يا قمر روح .. روح .. نام .. نام بالشجر ما منحب السهر ما منحب السمر معك .. يا قمر,1953,الأخوين رحباني,الأخوين رحباني
"غرب الحسون",غرب الحسون والزنبق تكي وتشرين عم يجمع الزهر الليلكي ما عاد تحرز هيك قلك شو بني كترت قصصنا وما بقى يساع الحكي,1966,الأخوين رحباني,الأخوين رحباني
غرب يا هوى,غرب يا هوى شرق يا هوى حاكيني حبيبي وقعدنا سوا وتعبنا الهوى دخاك يا حبيبي قصد العين وانا ع العين وقال لي وين بشوفك وين وعين تخاف وتدمع عين قال وقال والورد مال وصار الدار على هالحال نسيت البيت وأخرني حبيبي قصد الحي وأنا بالحي وقال لي طلي قبالي شوي وكل الناس يدلوا علي وتخبيت بدرج البيت فزعت يشوفوا وان طليت زعل وفل وشو بفكره حبيبي,1962,الأخوين رحباني,الأخوين رحباني
,في قهوة عالمفرق في موقدة و في نارنبقى أنا و حبيبي نفرشها بالأسرار جيت لقيت فيها عشاق اتنين زغار قعدوا على مقاعدنا سرقوا منا المشوار يا ورق الأصفر عم نكبر عم نكبرالطرقات البيوت عم تكبر عم تكبر تخلص الدنيي و ما في غير يا وطني يا وطني أه بتضلك طفل زغير متل السهم الراجع من سفر الزمان قطعت الشوارع ما ضحكلي انسان كل أصحابي كبروا و أتغير اللي كان صاروا العمر الماضي صاروا دهب النسيان,1974,الأخوين رحباني,الأخوين رحباني
سالوني الناس,سألوني الناس عنك يا حبيبي كتبوا المكاتيب وأخدها الهوا بيعز علي غني يا حبيبي ولأول مرة ما منكون ســـوا سألوني الناس عنك سألوني قلت لهن راجع أوعى تلوموني غمضت عيوني خوفي للناس يشــــــــوفوك مخبا بعيوني وهب الهوا و بكاني الهوى لأول مرة مـــا منكون ســوا طل من الليل قال لي ضوي لي لاقاني الليل وطفا قناديلي ولا تســـأليني كيف إستهديت كـــان قلبي لــعندك دلـيـلي واللي إكتوى بالشوق إكتوى لأول مرة مــــــا منكون سوا,1973,زياد رحباني,الأخوين رحباني
زوروني كل سنه مره,زوروني كل سنة مرة حرام تنسوني بالمرة يا خوفي و الهوى نظرة تجي و تروح بالمرة حبيبي فرقتك مرة حرام تنسونا بالمرة,1921,سيد درويش,يونس القاضي
عين الرمان,عالتلة الخضرا و أنت و طالع صوب المزارع العاليي في ضيعة حلوي بيوتها جداد و شوارعها واسعة طرقاتها مسيجي بالزهور هالضيعة أسما عين الرمان يا عين الرمان يا ضيعة مسحورة بالمنتور الغويان مغمورة يا عين الرمان يا خضرا يا حلوي يللي الزنبق نيسان عم تضوي حن القلب و مال و النرجس قاملك فييو بعين الرمان ناجي الحب و طار و الملقى كان بضيعة عين الرمان وين بيتلاقوا الأخوان عمفارق عين الرمان وين بتتغنى الألحان بجناين عين الرمان,1955,الأخوين رحباني,الأخوين رحباني
غرب الحسون,غرب الحسون والزنبق تكي وتشرين عم يجمع الزهر الليلكي ما عاد تحرز هيك قلك شو بني كترت قصصنا وما بقى يساع الحكي,1966,الأخوين رحباني,الأخوين رحباني
غرب يا هوى,غرب يا هوى شرق يا هوى حاكيني حبيبي وقعدنا سوا وتعبنا الهوى دخاك يا حبيبي قصد العين وانا ع العين وقال لي وين بشوفك وين وعين تخاف وتدمع عين قال وقال والورد مال وصار الدار على هالحال نسيت البيت وأخرني حبيبي قصد الحي وأنا بالحي وقال لي طلي قبالي شوي وكل الناس يدلوا علي وتخبيت بدرج البيت فزعت يشوفوا وان طليت زعل وفل وشو بفكره حبيبي,1962,الأخوين رحباني,الأخوين رحباني
غمر الغداير,وتمرق صبيي تمشور دغوش الغياب تــرندح قــصيدة غيبتها من كـتــاب و يا شعرها الناطر شي إيد تجدله بعدك زغير عــــالمحبة والعذاب غمر الغداير طاير عالريح طاير طاير يا شعر من ليل وبكي بالبال ضلك طاير قطر الندي حب الندي نقط على الورد وهدي يــــا طير عالنبعة غدي غني لي هالبشــــاير وين العسل شهد العسل لما برق شالها وهدل وميت بإيدها عالجبل وإتــــعلت العمايــــر يكتب صلاة يودي صلاة لعيونها ويحلى العلا تتلفت وتضوي على لـــفتاتها المنايـر,1964,الأخوين رحباني,الأخوين رحباني
غيب يا قمر,غيب غيب غيب غيب يا قمر روح .. روح .. نام .. نام بالشجر ما منحب السهر ما منحب السمر معك .. يا قمر,1953,الأخوين رحباني,الأخوين رحباني
فايق ولا ناسي,فايق و لا ناسي عالمفرق شو بكينا يا حبيبي يا قاسي يا ناسي ليالينا فايق شو تمشينا بالليل عالطرقات شو رحنا مضينا بضو القمر سهرات و على أحلى الاماسي فايق و لا ناسي فايق عالتنزيهة بالقهوة اللي عالمي نبقى نقعد فيها و ستاير زرقا شوي و عالحمر الكراسي فايق و لا ناسي,1961,الأخوين رحباني,الأخوين رحباني
فايق يا هوى,فايق يا هوى ليم كنا سوى والدمع سهرني وصفولي دوا تاري الدوا حبك وفتش عالدوا فايق لما راحوا أهالينا مشوار تركونا وراحوا قالوا أولاد صغار ودارت فينا الدار ونحن أولاد صغار والهوى جمعنا وفرقنا الهوي طير المسا جاي من سفر طويل وعلى باب السهرة تبكي المواويل نطفي القناديل وتبكي المواويل ونسهر على العتمة تنينتنا سوى فايق ع سهرة وكان في ليل وندي والنار عم تغفى بحضن الموقدي والعتوب مسافرة وما في كلام ولاهدي قلبك ولا قلبي هدي ونام الحكي والناس وانهد السراج وتكيت غصون الورد ع كتف السياج وفل القمر ع ضيعتو وفلوا الدراج وقلك بقاش بكير و تقلي اقعدي,1968,فيلمون وهبه,الأخوين رحباني
نسم علينا الهوى,نسم علينا الهوا من مفرق الوادي يا هوا دخل الهوا خدني على بلادي يا هوا يا هوا يللي طاير بالهوا في منتورة طاقة وصورة خدني لعندن يا هوا فزعانة يا قلبي أكبر بهالغربة ما تعرفني بلادي خدني على بلادي شو بنا شو بنا يا حبيبي شو بنا؟ كنت وكنا تضلو عنا وافترقنا شو بنا وبعدا الشمس بتبكي عالباب وما تحكي يحكي هوا بلادي خدني على بلادي,1967,الأخوين رحباني,الأخوين رحباني
نحنا والقمر جيران,نحنا والقمر جيران بيته خلف تلالنا بيطلع من قبالنا يسمع الألحان نحنا والقمر جيران عارف مواعيدنا وتارك بقرميدنا أجمل الألوان وياما سهرنا معه بليل الهنا مع النهدات وياما على مطلعه شرحنا الهوى غوى حكايات نحنا و القمر جيران لما طل و زارنا ع قناطر دارنا رشرش المرجان,1995,الأخوين رحباني,الأخوين رحباني
كيفك انت,بتذكر أخر مرة شفتك سنتا بتذكر وقتا أخر كلمة قلتا و ما عدت شفتك و هلق شفتك كيفك أنت ملا أنت بتذكر أخر سهره سهرتا عنا بتذكر كان في واحدة مضايق منا هيدي أمي بتعتل همي منك إنتا ملا إنتا كيفك قال و عم بيقولو صار عندك ولاد أنا و الله كنت مفكرتك براة البلاد شو بدي بالبلاد الله يخلي الولاد بيطلع عبالي ارجع أنا و اياك انت حلالي ارجع أنا وياك أنا و انت ملا انت بتذكر اخر مرة شو قلتلي بدك ضلي بدك فيكي تفلي زعلت بوقتا و ما حللتا أنو انت هيدا انت بترجع عراسي رغم العيال و الناس إنتا الاساسي و بحبك بالأساس بحبك أنت ملا أنت,1991,زياد رحباني,زياد رحباني
كنا نتلاقى,كنا نتلاقى من عشية ونقعد على الجسر العتيق وتنزل على السهل الضبابة تمحي المدى وتمحي الطريق ما حدا يعرف بمطرحنا غير السما وورق تشرين ويقلي بحبك أنا بحبك ويهرب فينا الغيم الحزين يا سنيني اللي رح ترجعيلي رجعيلي شي مرة ارجعيلي وانسيني ع باب الطفولة ت أركض بشمس الطرقات يا سنيني اللي رح ترجعيلي رجعيلي شي مرة ارجعيلي ورديلي ضحكاتي اللي راحوا اللي بعدا بزوايا الساحات بتذكر شو حكيوا عليي لما نطرت وأنت نسيت وصار الشتي ينزل عليي وإجا الصيف وانت ما جيت يا سنيني اللي رح ترجعيلي رجعيلي شي مرة ارجعيلي وانسيني ع باب الطفولة ت أركض بشمس الطرقات,1975,الأخوين رحباني,الأخوين رحباني
راجعين يا هوى,راجعين يا هوى راجعين يا زهرة المساكين راجعين يا هوى على دار الهوى على نار الهوى راجعين منودع زمان منروح لزمان ينسانا على ارض النسيان منقول رايحين منكون راجعين على دار الحب ومش عارفين راجعين يا هوى على دار الهوى على نار الهوى راجعين مغرور يا هوى يا هوى مغرور يا حبيبي يا ورده على سور نحنا العاشقين على طول عاشقين وانتو بليا لينا عايشين نحنا العاشقين عاشقين عاشقين وانتو بليالينا عايشين راجعين يا هوى على دار الهوى على نار الهوى راجعين,1974,الأخوين رحباني,الأخوين رحباني
عروستنا الحلوه,عروستنا الحلوه يا نيسانه حلوه يا مشوار من دار لدار يـــــــــــا حلوه تتبارك حجار البيت .. تتبارك العتبه والخوابي نبيد وزيت وتفيض المحبه كوني قمح وسكر ، كوني ورد وعنبر وقنديل الزوّار اللي متوّج بالغار يــــــــا حلوه كبروا زهور البساتين ومتل الكذبة كبرتي وحليتي بين الحلوين  ولـعريسك صرتي عالحب تلاقيتوا وعِمرِت قصة بيته ودار الهوى دار من دار لدار يـــــــا حلوه,1969,الأخوين رحباني,الأخوين رحباني
معافى ياعسكر لبنان,معافى يا عسكر لبنان يا بو زنود المسمية وتتغاوى أرزة لبنان فوق جبال الحرية يا خضرا ترقص عمطُل وبحكايات العز تطل وتمد شلوحها للكل وعبيوت الكلّ تفيي ويا خضرا ترقص عمطل وبالخير وبالحب تهلّ شمسك هالمضوية تضلّ بهالدنيي مضويي,1974,الأخوين رحباني,الأخوين رحباني
معرفتي فيك,معرفتي فيك إجت عا زعل معرفتي فيك ما كانت طبيعيي من بعد ملل حبك لإلي بلش متل الشفقة كان بدي حنان و ما كنت سألاني و علقاني بهالحلقة محتاجي إنسان بس اليوم ما بعرف كيف قلك يمكن هلق عم قلك حبيبي لآخر مرة بقلك حبيبي مش أنت حبيبي,1983,زياد رحباني,زياد رحباني
معك يا حبيبي,معك راح ابقى يا حبيبي معك لو دبل الورد وما عاد في قمر لو خلصت القصص وأغاني السهر أنا يا حبيبي راح ابقى معك معك يا حبيبي  راح ابقى عا طول بالصيف وبالشتي وبشمس الحقول كل الليل الغريب وعالسهر المجهول أنا يا حبيبي معك معك راح ابقى يا حبيبي معك معك راح ابقى يا حبيبي معك لو دبل الورد وما عاد في قمر لو خلصت القصص وأغاني السهر أنا يا حبيبي راح ابقى معك معك يا حبيبي بدي ابقى سنين حتى لو .... وصرنا منسيين عاسياج الأيام بسفر الأحلام معك راح ابقى يا حبيبي معك لو دبل الورد وما عاد في قمر لو خلصت القصص وأغاني السهر أنا يا حبيبي راح ابقى معك,1998,الياس رحباني,الأخوين رحباني
من روابينا القمر,من روابينا القمر جاءه أمله خبر جايلته رندلى ودمى الحسن الآخر طالما فاجئنه حافيا فوق الزهر مزقت من ثوبه نزوات لا تذر هم ما هم و من غزلنا يكسى القمر العذارى حوله في الربى عقد شرر ضحكة طافرة ونشيد في الأثر والمساء المنتحي بعد هاتيك الصور ذاهل شال به صوتنا المختكر والروابي نهضت فوق تجوال النظر يا ترى العمر قمر,1999,الأخوين رحباني, سعيد عقل
نام ولا تنام,نام ولا تنام شوف ولا تشوف بيارق السفرفوقنا عم تلمع ورق الشجرعم يتودع نام ولا تنام شوف ولا تشوف بين الغفا والصحو غمضة عين بين الصغر والكبر غمضة عين بين السنونو والسطح غيبة سنة رح يفلوا بغيبتك وتفل الدني وبكرا اذا رجعوا رفوف السنونو بيتي بلا سطح وين بدهن يغطوا؟ قولك عالشمسية ؟ وبكرا اذا رجعو رفوف السنونو بيلمحوا من بعيد قصرك العالي وسطحك القرميد وشمسيتي زغيرة وسطحك كبير بيعششوا  بقصرك وبينسونا كتير يا حسرتي علينا ما عاد يجي لعنا حتى العصافير نام ولا تنام شوف ولا تشوف,1971,الأخوين رحباني,الأخوين رحباني
ندى,ندى بسمة الورد للندى في الصباح ندى همـسـة الطهر في شفاه الاقاح ندى شــــــــعلة الحب قبلة الارواح كم من وشاح كساها الجمال كم من وشاح اخت الفراشــــــــات يلعبن حاليات الجناح لم تبقِ للزهر والطير من شـــــذاً وصداحِ رضابها للحميّا والخد للتفاح كم من وشاح كساها الجمال كم من وشـاح ندى يا من ســلسل الخمر في الثنايا العذاب من صفصف الشعر فوق الجبين سطر كتاب رددتلي بعد يأسي حلم الهوى والشباب من انتِ؟  الله لمّا عـضّت على العنّاب وصفصفت بيديها وغمغمت بالجـواب سل الرياحين عني وسـل حنين الرباب,1954,الأخوين رحباني,بشارة الخوري
نسيتنا الكروم,نسيتنا الكروم البعيدة نسيتنا الكروم ونسيتنا تلال القمر نسيتنا النجوم السعيدة نسيتنا النجوم وضيعنا ليالي السهر رحنا ع دار الهوى بليلة غوى تانزور اللي كان حوض وبقية زهر وحكاية عطر محاها الزمان نسيتنا القصص ياحبيبي حكايا الجمال خليني ع بالك حبيبي غنية ع بال,1958,الأخوين رحباني,الأخوين رحباني
نشيد المقاومه,خلصوا الأغاني هني وغنوا عالجنوب خلصوا القصائد هني وصفوا عالجنوب ولا شهداء قلوا ، و لا شهداء زادوا  واذا واقف جنوب، واقف باولاده خلصوا القضايا هني ويردوها عالجنوب كسروا المنابر، هني ويعدوا   عالجنوب يلي عم يحكوا اليوم، هو غير اللي ماتوا المعثر بكل الأرض دائما هو ذاته هيدي مش غنية هيدي بس تحية وبس,2000, زياد رحباني, زياد رحباني
ياحلو ياقمر,يا حلو يا حلو يا قمر يا ندي على غصن سجر يا أمي أستوى كرمنا يا أمي حليو عناقيدو يا أمي وأخضر الجنا الله بيصونو ويزيدو ساكن على شباكنا طير ونحنا ما منريدو لكن لحنو بيضيقنا منضل نقولو ونعيدو ما احلاك عدروب غير دروبنا وقلوب غير قلوبنا بتضل تترجاك محلاك واقمار غير اقمارنا تحاكيك عن أسرارنا وتقلنا شو باك يا أمي لاح بحينا ما عاد بيلوح بأيدو طل الهوى يا ذلّنا  لما بتروح مواعيدو,1996,الأخوين رحباني,الأخوين رحباني
يارايح ع كفر,يا رايح ع كفر حالا امروق بسوق العنّاب في بنت بتنسى حالها وهي على هاك الباب خبرنا كيف احوالها يا رايح ع كفر حالا ع شــمالك في دكــانة بتبيع مغازل صـوف بنت بتقعد ســـــهيانة تنطر تيجيها ضيوف حلوة والخصر بيلوي وما بتعرف انا حــلوة لا تفوّقها على حالها بلكي اشــــغلت لها بالها تعرفــــها من عينيها بيضلو تعبــــــانين وتتطلـــّع ع إيـــديها وع خواتمها الحلوين قـــرّب خبرها عنّي بلـكي زعلانة مــــنّي واسرق لي وإنت قبالها خيط زغيّر من شاله وان كان حالتـــها حالة وع ريفـها شفت دموع قل لها عنيها ببــــالي همـــها  بوجهّي مزروع وتحرقني هاك الضحكة ال بدها تحكي وما بتحكي ياخوفــي من خيالــــها والبعـــد يغير حالـــها,1970,الأخوين رحباني,الأخوين رحباني
ياقمر على دارتنا,يا قمر على دارتنا يا حكاية سهرتنا يللي فتنتنا حلوة يا جارتنا يا قمر على دارتنا ع تلالك ليلتنا رقصة حملتنا وصوبك أخدتنا شفناك ميلنا بهالليل وسألنا تاريك حاببنا وما بتقول شو زعلنا والقمر على دارتنا حكاياته بسهرتنا رقصة حملتنا وصوبه أخدتنا,1997,الأخوين رحباني,الأخوين رحباني
ياقمر لشو تطلع,ياقمر ياقمر ضوي ضوي عاشجر وياشجر بالسهر لوح لوح للقمر ياقمر ياقمر لشو تطلع ياقمر لولا بتقعد تتسمع من خلف الاوراق مش احسن ما تقوم تطلع وتفضح العشاق و تضوي و تكشف صور وتحكي و يزيع الخبر احلى تضلك قمر زغير لشو تكبر ياقمر سافرت كتير وضويت عمرك كلو راح لولا بتلقيلك شي بيت وبتقعد ترتاح هالعيشة الكلها سفر بكرا بتجبلك ضجر خلينا نشتاق عليك غبلك سنه ياقمر,1971,الأخوين رحباني,الأخوين رحباني
يامحلا ليالي الهوى,يا محلا ليالي الهوى يوم اللي التقينا سوى والخيمة عالعالي عالعالي كان رح بيطيرها الهوا يا خيمة اللي عمرها بالبنفسج زنرها وبالشجر ع دايرها علق مراجيح الغوى يا هاك الصبح لما خصلة الشعر لمها عناقيد العلى إمها تقول تقول الكرم إستوى منديل القصب شلته بجروح الهوى غزلته ما في له دوا سألته ؟  جوابني ما في له  دوا,1963,الأخوين رحباني,الأخوين رحباني
يوم و يومين و جمعة,يوم و يومين و جمعة وشهر و شهرين تعبت بعيني الدمعة وين غايب وين شهر و شهرين و بعدك بعدك بتقول تقول محافظ عا وعدك و الوعد يطول و قلبي الناطر عابعدك بالو مشغول مشغول و ليلو بعدك صاير ليلين عالعالي طاروا و علوا جوز حساسين حساسين و راحوا غلوا بعب الشربين و يسأل وينن و نقلو راحوا الحلوين الحلوين الكانوا يملوا من راس العين زهر شباكك زهر شباكك فل الفل العجبينك نور نور عالكل و جينا لعندك تانسهر ما كنت تطل و طل الشوق المسهر دمعات العين,,الأخوين رحباني,الأخوين رحباني
يريد زهره,يريد زهرة وليس فى الروض زهور ووردنا لم يعقد عبير والحقل من غير طيوب يريد زهرة هل تسمعين ياطيور؟ من أين لى زهر وورد؟ وما ترى أهدي حبيبي؟ سأجمع الشوق بقلبي  وأقطف اللحن الغني وانتقى من روض حبي  براعم الحزن الوفير  ومن شذا النسمات ألم كل طيب فأجمع الباقات للساحر الحبيب يريد زهرة وليس فى الروض زهور ووردنا لم يعقد عبير والحقل من غير طيوب يريد زهرة هل تسمعين ياطيور؟ من أين لى زهر وورد؟ وما ترى أهدي حبيبي؟,1955,الأخوين رحباني,الأخوين رحباني
يا رعيان الجبال,يارعيان الجبال اذا طلعتوا عالجبال قولوا لحبيبي عادت ايام الــــــهوى ياقطافين الكروم اذا قطفتوا الكروم قولوا لحبيبي رجع زمان الــــهوى قولوا له الزعل راح والهوى عم يقطف قمره واللوم انتهى وارتاح هالقلب وقبل بســهره قولوا له الناطر ناطر والمشـــــتاق اشتاق ورجعت عالقناطر نجمة العشــاق وقولوا لحبيبي انه حــــــبيبي ع اصوات العصافير عم اكتب حبي وعتبي دلوا عليي النواطير والغربا عرفوا بتـــعبي قولوا له العمــــر قصيّر وشمس العمر خيال وقصر الحب زغيّر والســــــاعات قلال وقولوا لحبيبي انو حبيبي,1969,الأخوين رحباني,الأخوين رحباني
يا ريت انت وانا بالييت,يا ريت أنت و أنا بالبيت شى بيت أبعد بيت ممحي ورا حدود العتم و الريح و التلج نازل بالدنيي تجريح يضيع طريقك ما تعود تفل و تضل حدي تضل و يزهر و يدبل ألف موسم فل و تضل حدي تضل حدي تضل و ما يضل بالقنديل نقطة زيت,1963,الأخوين رحباني,الأخوين رحباني
يا زنبق,يا زنبق يا غاوي بسياجه ومفيي بوراقك ع دراجه بيجي يتكي وبيطول الحكي يا بلبل بخيال عناقيده بتقول له ما ينسى مواعيده ودينا لشباكه يمام ولقلبه ملام ولعيونه سلام  ميل يا ستار و تيه عالدار لوح للعين جنات وزرار,1955,الأخوين رحباني,الأخوين رحباني
