Track title,track lyrics,Release Year,composer ,Lyricist
ابحث عنك دوما,أبحث عنك دوماً يا حلمي المختار أبحث عنك دوماً واسأل الأزهار أراك في خيالي ملون الجمال أبحث عنك دوماً فهل اراك يوماً قصدت الحقول البعيدة وطفت في الجنان وكنت اغني ســــعيدة ومــر طـــائــران ذكرت اني حيرى وليس لي وليف ليتني كنت طير في منحنى وريف أبحث عنك دوما يا حلمي المختار أبحث عنك دوما واسأل الأزهار أراك في خيالي ملون الجمال أبحث عنك دوما ًفهل اراك يوماً,,الأخوين رحباني,الأخوين رحباني
ابنة بلادي,أين الشـــــــــذا والحلُمُ المُزهِرُ أهـــكــذا حُبُّكَ يــــا أســـــــــمرُ أهــكــذا تـــَذوي أزاهِيـرُنـــــا وكانَ منها المِسْـــــــكُ والعَنْـَبرُ الشّــــــــفةُ الحُـــلوةُ مــــا بالُها تَحْملُ لي الخمـرَ ولا تُسكــــــَرُ أشـــــــعارُنا كانت تُوشّي الدُّنّى والليلُ من أشــــــــــواقِنا مُـقمِرُ كيفَ الهوى يمضي كعُمْرِ الندى وفي بـــلادي مَـرجُهُ الأخـضـَرُ أهـــــــواكَ فـي أغــــنــيةٍ حُرّةٍ يَخفُقُ فـيها الــــنّــايُ والمِزْهَــرُ في طلّةِ الــفـــجْرِ على المُنحنى يهفو إليها الـــكَــــرْمُ و الـبــَيْدرُ في النَهَرِِ الضاحـــكِ بين الـرُّبى تَحْسُــــــــدُهُ على الهوى الأنـهُرُ في نغـمِ البلبلِ يشـــــــــدو عـلى صنوبرِ الســـــــــفـحِ ولا يهجُرُ في موكـبِ النّصرِ وفي رايـــــةٍ عــلى ذرى تــاريــــخنا تـخطرُ وفي أماني أمتي تنتشــي فيـها الـــمــــروءات وتســـــــــــتكبر أهواكَ في شــعبي وفي موطـني فأنتَ  لا  أحـلى  ولا  أنــضَرُ,,الأخوين رحباني,ابو سلمى
اتسالين النجم,هل تسألين النجم عن داري وأين أحبابي وسماري داري التي أغفت على ربوة حالمة بالمجد والغار تفتح الزهر على خدها فعطرت أيام آذار ضحية الحسن.. وكم فتنة تجني على حسناء معطار جار عليها مدعٍّ بالهوى جور عدو في الحمى ضار والشعب كم من حاكم باسمه يظلمه ظلم سنمار في عينه دمعة باك وفي راحته سكين جزار,,الأخوين رحباني,الأخوين رحباني
احب الاسماء,أحبُ من الأسماءِ ما شابه أسمها و وافقهُ أو كانَ منهُ مُدانيا أَعدُ الليالي ليلةً بعد ليلةٍ و قد عشتُ دهراً لا أعدُ اللياليَ فيا ربِ سوي الحبَ بيني و بينها يكونُ كفافاً لا عليَ و لا ليَ وقد يجمع الله الشتيتين بعدما يظُنانِ كلُ الظنِ أن لا تلاقيا تذكرت ليلى والسنين الخواليا    وأيام لا نخشى على اللهو ناهيا ويوم كظل الرمح قصرت ظله  بليلى فلهاني وما كنت لاهيا بثمدين لاحت نار ليلى وصحبتي بذات الغضى تزجى المطي النواجيا فقال بصير القوم : لمحة كوكب بدا في سواد الليل فردا يمانيا فقلت له : بل نار ليلى توقدت بعليا تسامى ضوءها فبداليا فليت ركاب القوم لم تقطع الغضى وليت الغضى ماشي الركاب لياليا فيا ليل كم من حاجة لي مهمة إذا جئتكم بالليل لم أدر ما هيا وقد يجمع الله الشتيتين بعدما يظنان كل الظن أن لا تلاقيا لحا الله أقواما يقولون : إنني وجدت طوال الدهر للحب شافيا فشب بنو ليلى وشب بنو ابنها وأعلاق ليلى في فؤادي كما هيا ولم ينسني ليلى افتقار ولا غنى ولا توبة حتى احتظنت السواريــا خليلي لا والله مـــا أملك الـذي قضى الله في ليلى و لا ما قضى ليا قضاها لغيري وابتلاني بحبهـــا فهلا بشيء غير ليلى ابتلانيـــا فهذي شهور الصيف عنا قد انقضت فما للنوى ترمي بليلى المراميـــا فلو كان واش باليمامـــــة داره وداري بأعلى حضرموت اهتدى ليا أعــد الليالي ليلــة بعد ليلــة وقد عشت دهرا لا أعد اللياليــا وأخرج من بين البيوت لعلني أحدث عنك النفس بالليل خاليا أراني إذا صليت يممت نحوها بوجهي وإن كان المصلى ورائيا وما بي إشراك ولكن حبهـــا وعظم الجوى أعيا الطبيب المداويا أحب من الأسماء ما وافق اسمها أو أشبهه أو كان منه مدانيـــا خليلي ما أرجو من العيش بعدما أرى حاجتي تشرى ولا تشترى ليا خليلي إن ضنوا بليلى فقربـــا النعش والأكفان واستغفرا ليـــا,1999,محمد محسن,قيس بن الملوح
احب دمشق,أحب دمشق  هوايا الأرقا أحب جوار بلادي ثرى من صبا و وداد رعته العيون جميلة و قامة كحيلة أحب أحب دمشق دمشق بغوطتك الوادعة حنين إلى الحب لا ينتهي كأنك حلمي الذي أشتهي   هوى ملء قصتك الدامعة تمايل سكرى به دمشق  كشمس الضحي الطالعة هنا و البطولات لا تنضب تطلع شعب حبيب العلي إلى المجد بالمشتهى كلل دمشق و أنت الثرى الطيب غضبت و ما أجمل فكنت السلام إذا يغضب أحب أحب دمشق,,الأخوين رحباني,الأخوين رحباني
احبك في صمتي,أُحبكَ فى صـمتىَّ الوارف وفى رفةِ الهــــدبِ الخائفِ وبى يا ملوِّن عمرى إليك حَنــينُ الكرومِ إلى الــقاطفِ حنين الشحارير عند الغروب إلى رحلة الموسم الهاتف ذُرى بالندى والبريق تُطل كنهرٍ من الوهج الصائف أحبك هل بعد حبى سؤال وبعد جمالى غوىَّ أو جمال أحــبك حتى يضل الغمام وينسى الربيع دروب التلال أحبك حتى يمل الصــدى طواف الربى وعناق الجبال أقول أحــبك موج حقول وجمع شـــذى يا مطل الظلال وقلــت إلى بيتك الـــساحر أجيئ مع القــــمر الـــــساهر فزينت بيتى وطــال انتظارى وغنيت حتى بكى خاطرى وحين سكبت النشيد الأخير وفرفطت عقد الشذى العاطر أتيـــتَ فيا حيرتى ما أقول وكيــف ألاقـــيك يازائرى,1958,الأخوين رحباني,الأخوين رحباني
احبك مهما اشوف,أحبك مهما اشوف منك ومهما الناس تقول عنك أحبك ... أحبك مهما أشوف ..أِشوف منك تعال جنبي كلمني  عرفت الحب وعرفتك غيابك عنّي علمني أكدّب عيني لو شـفتك جفاك لو زاد .. دفاك لو عاد جفاك لو زاد ... أحبك واقولها مهما اشوف منك ومهما الناس تقول عنك ومهما أشوف .. أشوف منك أشوف الورد يتمايل على الاغصان ويتهنى أقول يا ريت نتقابل ونرجع للي كان بيننا زمانك فين .. يا نور العين زمانك فين ... أحبك واقولها مهما اشوف منك ومهما الناس تقول عنك ومهما أشوف .. أشوف منك,1952,حليم الرومي,الأخوين رحباني
احترف الحزن,احترف الحزن والانتظار ... ارتقب الاتي ولا يأتي تبددت زنابق الوقت .. زنابق الوقت عشرون عاماً  وانا وانا... احترف الحزن والانتظار عبرت من بوابة الدموع .. الى صقيع الشمس والبرد لا اهل لي في خيمتي وحدي .. في خيمتي وحدي عشرون عاماً .. وانا .. وأنا.. يسكنني الحنين والرجوع كبرت في الخارج .. بنيت اهلاً اخرين .. كالشجر استنبتهم فوقفوا امامي صار لهم ظلٌ على الارض ومن جديدٍ .. ضربتنا موجة البغض وها انا استوطن الفراغ شردت عن اهلي مرتين سكنت في الغياب مرتين ارضي ببالي وانا .. وانا .. وانا احترف الحزن والانتظار,1957,الأخوين رحباني,الأخوين رحباني
احكيلي حكايه طويله,احكي لي حكاية طويلة حكاية عن جنينات ورا تلات سماها ظليلة احكيلي قصة جميلة قصة جني الأطياب عضفة غاب ورودو بخيلة قصص الهوى رحلات ليلات الحكي رحلناها قصص الهوى جنات بالحور الهني زرعناها احكي لي عن رحلة طويلة رحلة ورا مواعيد بدنية عيد بالأرض الجميلة,1958,الأخوين رحباني,الأخوين رحباني
احكيلي عن بلدي,إحكيلي إحكيلي عن بلدي إحكيلي يا نسيم اللي مارق عالشجر مقابيلي عن أهلي حكايي عن بيتي حكايي و عن جار الطفولي حكايي طويلي يا نسيم اللي مارق عا أرض الغار حلفتك تجي تلعب عندي بهالدار خبرني انكان بعدو بيذكرني ببلدي و عالسهرة ناطرني ساعات الفرح القليلي حبيبي إحكيلي حلفتك خبرني كيف حال الزيتون و الصبي و الصبيي بفيي الطاحون و اللوزي و الأرض و سمانا هو هني بلدنا و هوانا زهر الأيام البخيلي حبيبي إحكيلي,1979,الأخوين رحباني,الأخوين رحباني
احلى ليالي المنى,أحلى ليالي المنى حين التقينا هنا و الليل من حولنا دنيا طيوب لنا والأسمر الجميل على الرؤى يميل والمخبأ الظليل في البعد يومي لنا الليل حلو الوعود والروض غض الورود وكل مافي الوجود حانٍ على حبنا هذي دروب الغرام طليقة في الظلام سهرانة لا تنام يا حب هيا بنا والأسمر الجميل على الرؤى يميل والمخبأ الظليل في البعد يومي لنا,1953,الأخوين رحباني,الأخوين رحباني
اخر السهريه,على بالي بعدك يا حبيبي على بالي قصص الهوى وليالي الهوى عم تحفر بقلبي ليالي وبعدك يا حبيبي على بالي آخر السهريي تطلعت عليي وبعينيها شفت النهايي ودعتني بكلمي ودعتا بكلمي وخلصت الإيام اللي جايي آخر السهريي وراحت الصيفيي وبعينيها لمحت شخص تاني رحت و عم إطلع و الدنيي ما تسمع والبواب مسكرا وتعباني سألوني عيوني أيمتي بنشوفا قلتلن ما فيي قول ما فيي قول بعرف تودعنا يمكن لبكرا يمكن لبعدو ويمكن على طول يمكن إتودعنا على طول,1979,الأخوين رحباني,الأخوين رحباني
اذا الارض مدوره,ولما القمر غاب وتغرب الليل راحوا الأحباب كل واحد بميل  وإذا الأرض مدورة يا حبيبي رح نرجع نتلاقى يا حبيبي نتلاقي بالبيت بفي القنطرة إذا يا حبيبي الأرض مدورة,1972,الأخوين رحباني,الأخوين رحباني
اذكريني,أذكر الأيام يا حلو الهوي في حلايا الغاب عند الجدول حين كنا و الهوى حلو الغوى نتشاكى في حنين القبل ضمنا الليل على بوح طوى كل ما في قلبنا من غزل فأنا إن أشتكي غر النوى لا تلمني يا حبيبي أنتهي أذكريني كلما الفجر بدا و أذكري الأيام ليل السهر أذكريني كلما الطير شدا و حكى للغاب ضوء القمر أذكريني و أذكر عهد الهنا أترى عشت إذا لم تذكري نحن جمعنا من الليل الغنا و حكايات الجمال المزهر يا حبيبي هرب الليل بنا و مشيناها دروب الحلم فلهونا عند واحات الهنا و جلسنا في ظلال النغم يا صفا دنيا من الورد لنا و عشيات خفاف النسم نتهادى نتهادى و الغنى طائر في كل روض يغتني,,الأخوين رحباني,سعيد عقل
ارجعي يا الف ليلة,إرجعي يا ألف ليلة .. غيمة العطر فالهوى يروي غليله .. من ندى الفجر إن أشواقي الطويلة .. أغفرت عمري و حكاياكي خميلة .. في مدى الدهر,,الأخوين رحباني,رفيق خوري
بالغار كللت,بالــغار كللت أم بالنار يا شـــام أنت الأميرة تعلو بإسمك الهام أواه بضع غماــمات مشردة في الأفق بعض روئاً و البعض أحلام ســألتهن أظللتنها صبحاً شــــام التي وحــــدها للعــــود أنغــــام ما ألهمتني من صوت خلدت به كذا يخلد شـــــك الســــيف مقدام و طالعتني ليال من بطولتها حمر تــغاوت لها في الريــــح أعـــلام كأنما نضجت خضر المواســـم من هوى أغاني و الأشــعار أيـام ختام تشــــــرين هل ناس أوائله إذ هبّ يعتصــــر العــنقود كرام يا شـــــام ســكبك مجد ما يكون إذا بملئ كفك دفــقــاً أفرغ الجـام أقول خالد شــــج الشعر مندفعاً وخط طـــارق فوق البحر رسام يا شــــام لبنان حـــبي غير أني لو توجع الشـــام تغدو حبي الشام,1961,الأخوين رحباني,سعيد عقل
بالمح ظلال الحب,بالمح ظلال الحب بعيونه باستلطفه لكن ما باظهرله خليه يتقلب على ظنونه خلّي الهوى يوعى على مهله بعد الحنين والشك والآلام بيصفى الوداد وبتزهر الأحلام وبيرتوي وقلبه مع الأيام وبيهتدي والشوق بيدله بعده هواه مضعضع ومحتار حب وسؤال البعيد ماله قرار خليه بكرا بتكبر الأزهار جناتها الخضرا بترسم له يا حاير الآمال والأشواق يا ألطف الأحباب والعشاق مشتاق تحكي وقلبنا مشتاق يستسلم لقلبك ويسمع له,1955,الأخوين رحباني,الأخوين رحباني
